Riesgo->F:ISO_3166_1_alpha2_to_lugar(lugar);A:peligro(269);probabilidad;texto;text;A:fechaActivacion(2017-07-27);A:caducidad(-1);A:formulaDisipacion(Homogenea)
AF;Probable;Existe riesgo durante todo el año en zonas rurales. No existe riesgo en las ciudades ni en los principales centros turísticos. Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 14 sobre 100, siendo 0 el peor resultado y 100 el mejor.;There is risk throughout the year in rural areas. There is no risk in cities or major tourist centers. Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 14 sobre 100, siendo 0 el peor resultado y 100 el mejor.
AL;Impossibility;No existe riesgo Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.;No risk Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.
DZ;Almost_certainly_not;El riesgo es muy bajo Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 96 sobre 100, siendo 0 el peor resultado y 100 el mejor.;The risk is very low. Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 96 sobre 100, siendo 0 el peor resultado y 100 el mejor.
AD;Impossibility;No existe riesgo Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.;No risk Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.
AO;Probable;Existe riesgo durante todo el año en zonas rurales. No existe riesgo en las ciudades ni en los principales centros turísticos. Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 7 sobre 100, siendo 0 el peor resultado y 100 el mejor.;There is risk throughout the year in rural areas. There is no risk in cities or major tourist centers. Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 7 sobre 100, siendo 0 el peor resultado y 100 el mejor.
AG;Impossibility;No existe riesgo Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.;No risk Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.
AR;Impossibility;No existe riesgo Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.;No risk Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.
AM;Impossibility;No existe riesgo Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.;No risk Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.
AU;Impossibility;No existe riesgo Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.;No risk Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.
AT;Impossibility;No existe riesgo Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.;No risk Según estudio elaborado por la Asamblea General de la ONU, dentro de los Objetivos de Desarrollo Sostenible (SDGs), estableció en 2015 para este país, un indicador de Malaria de 100 sobre 100, siendo 0 el peor resultado y 100 el mejor.
