Riesgo->F:ISO_3166_1_alpha2_to_lugar(lugar);A:peligro(57);probabilidad;texto;text;A:fechaActivacion(2017-07-27);A:caducidad(-1);A:formulaDisipacion(Homogenea);D:link
DE;Almost_certainly_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
AT;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
HR;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
SK;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
SI;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
EE;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
FI;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
FR;Almost_certainly_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
GR;Almost_certainly_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
HU;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
LV;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
LT;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
NO;Almost_certainly_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
PL;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
SE;Probably_not;Se considera área de riesgo para la Encefalitis Centroeuropea;It is considered an area of risk for European Encephalitis;https://ecdc.europa.eu/sites/portal/files/documents/Tickborne%20encephalitis%20AER_0.pdf
