Riesgo->F:ISO_3166_1_alpha2_to_lugar(lugar);A:peligro(57);probabilidad;texto;text;A:fechaActivacion(2017-07-27);A:caducidad(-1);A:formulaDisipacion(Homogenea)
AF;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AL;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AD;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AO;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AI;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AG;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
SA;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
DZ;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AR;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AM;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AW;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AU;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
AZ;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BS;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BH;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BD;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BB;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BE;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BZ;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BJ;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BY;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BO;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BA;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BW;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BR;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BN;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BG;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BF;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BI;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
BT;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
CV;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
KH;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
CM;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
CA;Impossibility;No riesgo de Encefalitis Centroeuropea;No risk of Central European Encephalitis
